word,count_original,count_bt,relfreq_original,relfreq_bt,ratio
vintermånaderna,11,41,9.5e-07,3.78e-06,0.251778
konsekvensanalys,14,52,1.21e-06,4.8e-06,0.252659
sjuda,21,78,1.82e-06,7.2e-06,0.252659
anlända,28,104,2.43e-06,9.6e-06,0.252659
fördelaktigt,48,178,4.16e-06,1.643e-05,0.253064
avisering,17,63,1.47e-06,5.81e-06,0.253232
sammankomst,10,37,8.7e-07,3.41e-06,0.253634
jättegott,30,111,2.6e-06,1.024e-05,0.253634
jobbmöjligheter,10,37,8.7e-07,3.41e-06,0.253634
sportevenemang,10,37,8.7e-07,3.41e-06,0.253634
sammanflätade,10,37,8.7e-07,3.41e-06,0.253634
ådrog,10,37,8.7e-07,3.41e-06,0.253634
skjutningen,10,37,8.7e-07,3.41e-06,0.253634
slutgiltig,16,59,1.39e-06,5.45e-06,0.254494
säkrat,18,66,1.56e-06,6.09e-06,0.25594
maskulinitet,12,44,1.04e-06,4.06e-06,0.25594
invänder,12,44,1.04e-06,4.06e-06,0.25594
text,1208,4414,0.00010463,0.0004074,0.256829
drick,48,175,4.16e-06,1.615e-05,0.257402
baserat,374,1362,3.239e-05,0.00012571,0.257694
kickoff,11,40,9.5e-07,3.69e-06,0.258073
otillgänglig,11,40,9.5e-07,3.69e-06,0.258073
accelerera,11,40,9.5e-07,3.69e-06,0.258073
ottomanska,16,58,1.39e-06,5.35e-06,0.258882
vidarebefordra,24,87,2.08e-06,8.03e-06,0.258882
inredd,16,58,1.39e-06,5.35e-06,0.258882
alkoholhaltiga,13,47,1.13e-06,4.34e-06,0.25957
utmattade,13,47,1.13e-06,4.34e-06,0.25957
substansen,35,126,3.03e-06,1.163e-05,0.26068
kollapsade,20,72,1.73e-06,6.65e-06,0.26068
folkmassan,12,43,1.04e-06,3.97e-06,0.261892
föråldrad,19,68,1.65e-06,6.28e-06,0.262213
nyårsdagen,19,68,1.65e-06,6.28e-06,0.262213
businesscenter,19,68,1.65e-06,6.28e-06,0.262213
blockering,14,50,1.21e-06,4.61e-06,0.262765
snubblade,29,103,2.51e-06,9.51e-06,0.264223
precist,20,71,1.73e-06,6.55e-06,0.264351
livlig,42,149,3.64e-06,1.375e-05,0.264528
personbästa,11,39,9.5e-07,3.6e-06,0.26469
hänsynslösa,11,39,9.5e-07,3.6e-06,0.26469
mandlar,11,39,9.5e-07,3.6e-06,0.26469
indexet,13,46,1.13e-06,4.25e-06,0.265213
nedgångar,15,53,1.3e-06,4.89e-06,0.265598
precisa,21,74,1.82e-06,6.83e-06,0.266316
slingrande,23,81,1.99e-06,7.48e-06,0.266472
onlinekasinon,27,95,2.34e-06,8.77e-06,0.266716
dämpade,12,42,1.04e-06,3.88e-06,0.268127
inhämta,26,91,2.25e-06,8.4e-06,0.268127
avfyrade,10,35,8.7e-07,3.23e-06,0.268127
