word,count_original,count_bt,relfreq_original,relfreq_bt,ratio
automatik,108,13,9.35e-06,1.18e-06,7.951654
revidering,91,11,7.88e-06,1e-06,7.918188
någonting,1219,148,0.00010558,1.339e-05,7.8835
snacka,222,27,1.923e-05,2.44e-06,7.869847
jobbar,1577,192,0.00013659,1.737e-05,7.861538
kika,311,38,2.694e-05,3.44e-06,7.833464
dar,98,12,8.49e-06,1.09e-06,7.816672
medverkande,89,11,7.71e-06,1e-06,7.744161
sammanlagt,274,34,2.373e-05,3.08e-06,7.713451
stöttar,88,11,7.62e-06,1e-06,7.657148
likadan,103,13,8.92e-06,1.18e-06,7.583522
avslutningsvis,79,10,6.84e-06,9e-07,7.561434
vis,754,96,6.531e-05,8.69e-06,7.517565
artisten,94,12,8.14e-06,1.09e-06,7.497625
dels,1248,160,0.0001081,1.448e-05,7.46572
anlita,140,18,1.213e-05,1.63e-06,7.44445
utmed,101,13,8.75e-06,1.18e-06,7.436269
genomslag,84,11,7.28e-06,1e-06,7.309096
jelly,159,21,1.377e-05,1.9e-06,7.246944
beslöt,135,18,1.169e-05,1.63e-06,7.178577
snällt,105,14,9.09e-06,1.27e-06,7.178577
dutasteride,90,12,7.8e-06,1.09e-06,7.178577
va,1017,136,8.809e-05,1.231e-05,7.157463
gällande,731,98,6.332e-05,8.87e-06,7.13951
gött,82,11,7.1e-06,1e-06,7.13507
ljuvligt,82,11,7.1e-06,1e-06,7.13507
föredrag,156,21,1.351e-05,1.9e-06,7.110209
trivas,193,26,1.672e-05,2.35e-06,7.10495
färd,133,18,1.152e-05,1.63e-06,7.072227
tappa,221,30,1.914e-05,2.71e-06,7.050958
nyttig,102,14,8.83e-06,1.27e-06,6.973474
åkt,233,32,2.018e-05,2.9e-06,6.969202
suveräna,87,12,7.54e-06,1.09e-06,6.939291
ned,1674,231,0.00014499,2.09e-05,6.936183
loppis,152,21,1.317e-05,1.9e-06,6.927896
övrig,123,17,1.065e-05,1.54e-06,6.925215
uttalat,108,15,9.35e-06,1.36e-06,6.891434
casinot,86,12,7.45e-06,1.09e-06,6.859529
exempelvis,2027,284,0.00017557,2.57e-05,6.831444
skaffat,128,18,1.109e-05,1.63e-06,6.806354
casinospel,71,10,6.15e-06,9e-07,6.795719
bjuds,156,22,1.351e-05,1.99e-06,6.787018
jurist,78,11,6.76e-06,1e-06,6.787018
utrymning,78,11,6.76e-06,1e-06,6.787018
efterrätt,92,13,7.97e-06,1.18e-06,6.773631
osv,806,114,6.981e-05,1.032e-05,6.767173
uppkopplad,154,22,1.334e-05,1.99e-06,6.700005
kavaj,70,10,6.06e-06,9e-07,6.700005
hämtat,140,20,1.213e-05,1.81e-06,6.700005
vore,1278,183,0.00011069,1.656e-05,6.684314
såväl,1386,199,0.00012005,1.801e-05,6.666337
sajten,390,56,3.378e-05,5.07e-06,6.665821
redovisa,125,18,1.083e-05,1.63e-06,6.64683
uppifrån,76,11,6.58e-06,1e-06,6.612992
proposition,69,10,5.98e-06,9e-07,6.604291
