word,count_original,count_bt,relfreq_original,relfreq_bt,ratio
atter,452,56,4.593e-05,6.72e-06,6.838459
jamen,161,20,1.636e-05,2.4e-06,6.820304
konstatere,169,21,1.717e-05,2.52e-06,6.818287
language,151,19,1.534e-05,2.28e-06,6.73335
client,111,14,1.128e-05,1.68e-06,6.717425
make,309,39,3.14e-05,4.68e-06,6.71277
met,103,13,1.047e-05,1.56e-06,6.71277
højhastighedsinternet,95,12,9.65e-06,1.44e-06,6.707338
hjertelig,79,10,8.03e-06,1.2e-06,6.693218
good,409,52,4.156e-05,6.24e-06,6.66389
process,110,14,1.118e-05,1.68e-06,6.656907
virkeligt,165,21,1.677e-05,2.52e-06,6.656907
vedkommende,486,62,4.938e-05,7.44e-06,6.64129
ll,227,29,2.307e-05,3.48e-06,6.631866
things,109,14,1.108e-05,1.68e-06,6.59639
alverdens,109,14,1.108e-05,1.68e-06,6.59639
easy,249,32,2.53e-05,3.84e-06,6.592608
work,224,29,2.276e-05,3.48e-06,6.54422
had,540,70,5.487e-05,8.4e-06,6.535873
second,77,10,7.82e-06,1.2e-06,6.523769
rdr,798,104,8.108e-05,1.247e-05,6.500959
bm,115,15,1.169e-05,1.8e-06,6.495528
århus,650,85,6.605e-05,1.019e-05,6.478915
in,7305,956,0.00074225,0.00011465,6.473963
villet,84,11,8.54e-06,1.32e-06,6.469854
si,213,28,2.164e-05,3.36e-06,6.445097
vedligehold,76,10,7.72e-06,1.2e-06,6.439045
forøget,83,11,8.43e-06,1.32e-06,6.392832
kendes,158,21,1.605e-05,2.52e-06,6.374493
next,195,26,1.981e-05,3.12e-06,6.354321
posterior,105,14,1.067e-05,1.68e-06,6.354321
rome,75,10,7.62e-06,1.2e-06,6.354321
foer,75,10,7.62e-06,1.2e-06,6.354321
map,127,17,1.29e-05,2.04e-06,6.329402
iblandt,127,17,1.29e-05,2.04e-06,6.329402
never,97,13,9.86e-06,1.56e-06,6.321734
aner,104,14,1.057e-05,1.68e-06,6.293803
sættes,504,68,5.121e-05,8.16e-06,6.279564
tilsendt,163,22,1.656e-05,2.64e-06,6.277299
heri,163,22,1.656e-05,2.64e-06,6.277299
deponent,96,13,9.75e-06,1.56e-06,6.256562
ig,96,13,9.75e-06,1.56e-06,6.256562
ipv,162,22,1.646e-05,2.64e-06,6.238788
value,103,14,1.047e-05,1.68e-06,6.233286
without,110,15,1.118e-05,1.8e-06,6.213114
do,879,120,8.931e-05,1.439e-05,6.206053
bogs,73,10,7.42e-06,1.2e-06,6.184872
visit,124,17,1.26e-05,2.04e-06,6.179888
products,160,22,1.626e-05,2.64e-06,6.161765
udlagt,167,23,1.697e-05,2.76e-06,6.151719
mennesket,421,58,4.278e-05,6.96e-06,6.149814
kommen,174,24,1.768e-05,2.88e-06,6.14251
whole,72,10,7.32e-06,1.2e-06,6.100148
article,72,10,7.32e-06,1.2e-06,6.100148
døgn,180,25,1.829e-05,3e-06,6.100148
alting,194,27,1.971e-05,3.24e-06,6.087596
elle,86,12,8.74e-06,1.44e-06,6.071906
bevilget,86,12,8.74e-06,1.44e-06,6.071906
too,136,19,1.382e-05,2.28e-06,6.064474
forretninger,157,22,1.595e-05,2.64e-06,6.046232
egner,107,15,1.087e-05,1.8e-06,6.043665
ts,270,38,2.743e-05,4.56e-06,6.019883
made,220,31,2.235e-05,3.72e-06,6.012691
afkald,78,11,7.93e-06,1.32e-06,6.007721
modsat,241,34,2.449e-05,4.08e-06,6.005456
forholder,177,25,1.798e-05,3e-06,5.998479
altan,113,16,1.148e-05,1.92e-06,5.983652
number,84,12,8.54e-06,1.44e-06,5.930699
laterale,77,11,7.82e-06,1.32e-06,5.930699
tolterodine,70,10,7.11e-06,1.2e-06,5.930699
smut,84,12,8.54e-06,1.44e-06,5.930699
train,70,10,7.11e-06,1.2e-06,5.930699
enkle,294,42,2.987e-05,5.04e-06,5.930699
page,181,26,1.839e-05,3.12e-06,5.898113
fuldkommen,118,17,1.199e-05,2.04e-06,5.880861
today,97,14,9.86e-06,1.68e-06,5.870182
away,194,28,1.971e-05,3.36e-06,5.870182
samarbejdende,69,10,7.01e-06,1.2e-06,5.845975
back,482,70,4.898e-05,8.4e-06,5.833872
y,878,128,8.921e-05,1.535e-05,5.811556
fl,233,34,2.367e-05,4.08e-06,5.806105
herlige,89,13,9.04e-06,1.56e-06,5.800354
being,123,18,1.25e-05,2.16e-06,5.789492
take,225,33,2.286e-05,3.96e-06,5.776655
medlemmernes,75,11,7.62e-06,1.32e-06,5.776655
an,1152,169,0.00011705,2.027e-05,5.775288
reviews,68,10,6.91e-06,1.2e-06,5.761251
sigtet,136,20,1.382e-05,2.4e-06,5.761251
hovedsageligt,202,30,2.052e-05,3.6e-06,5.704768
omkostning,74,11,7.52e-06,1.32e-06,5.699633
disposition,67,10,6.81e-06,1.2e-06,5.676526
indvandrere,301,45,3.058e-05,5.4e-06,5.667113
indtages,167,25,1.697e-05,3e-06,5.659582
altså,2976,447,0.00030239,5.361e-05,5.640703
á,153,23,1.555e-05,2.76e-06,5.636006
næppe,299,45,3.038e-05,5.4e-06,5.629457
styresystem,73,11,7.42e-06,1.32e-06,5.622611
iøvrigt,205,31,2.083e-05,3.72e-06,5.602734
pre,66,10,6.71e-06,1.2e-06,5.591802
indbyggerne,79,12,8.03e-06,1.44e-06,5.577681
herover,92,14,9.35e-06,1.68e-06,5.567595
indimellem,98,15,9.96e-06,1.8e-06,5.535319
haver,914,140,9.287e-05,1.679e-05,5.531285
hentes,176,27,1.788e-05,3.24e-06,5.522768
gaf,65,10,6.6e-06,1.2e-06,5.507078
fremføres,65,10,6.6e-06,1.2e-06,5.507078
citantens,156,24,1.585e-05,2.88e-06,5.507078
wireless,123,19,1.25e-05,2.28e-06,5.484782
anlægget,168,26,1.707e-05,3.12e-06,5.474492
erhvervsdrivende,122,19,1.24e-05,2.28e-06,5.44019
complete,64,10,6.5e-06,1.2e-06,5.422354
you,2795,438,0.000284,5.253e-05,5.406492
bc,102,16,1.036e-05,1.92e-06,5.401173
mdr,159,25,1.616e-05,3e-06,5.388464
udskrift,89,14,9.04e-06,1.68e-06,5.386043
skrivelse,108,17,1.097e-05,2.04e-06,5.382483
table,63,10,6.4e-06,1.2e-06,5.337629
ne,315,50,3.201e-05,6e-06,5.337629
re,573,91,5.822e-05,1.091e-05,5.334836
fortrinsvis,88,14,8.94e-06,1.68e-06,5.325526
sensorisk,69,11,7.01e-06,1.32e-06,5.314523
communication,69,11,7.01e-06,1.32e-06,5.314523
publiceret,701,112,7.123e-05,1.343e-05,5.302832
projects,75,12,7.62e-06,1.44e-06,5.295267
bagerste,100,16,1.016e-05,1.92e-06,5.295267
rs,143,23,1.453e-05,2.76e-06,5.26764
folck,62,10,6.3e-06,1.2e-06,5.252905
middle,68,11,6.91e-06,1.32e-06,5.237501
works,68,11,6.91e-06,1.32e-06,5.237501
ditto,591,96,6.005e-05,1.151e-05,5.215838
after,289,47,2.936e-05,5.64e-06,5.209642
bevilling,92,15,9.35e-06,1.8e-06,5.196422
indehaver,98,16,9.96e-06,1.92e-06,5.189362
hug,67,11,6.81e-06,1.32e-06,5.160479
inderlig,67,11,6.81e-06,1.32e-06,5.160479
para,134,22,1.362e-05,2.64e-06,5.160479
area,188,31,1.91e-05,3.72e-06,5.138117
sammenfatning,103,17,1.047e-05,2.04e-06,5.133294
stedets,157,26,1.595e-05,3.12e-06,5.116043
efterlyser,72,12,7.32e-06,1.44e-06,5.083457
aflagde,336,56,3.414e-05,6.72e-06,5.083457
haus,102,17,1.036e-05,2.04e-06,5.083457
opgjort,66,11,6.71e-06,1.32e-06,5.083457
environmental,60,10,6.1e-06,1.2e-06,5.083457
experience,125,21,1.27e-05,2.52e-06,5.043112
als,226,38,2.296e-05,4.56e-06,5.038865
tusinder,101,17,1.026e-05,2.04e-06,5.033619
anførte,89,15,9.04e-06,1.8e-06,5.026974
overvejende,160,27,1.626e-05,3.24e-06,5.020698
herlig,77,13,7.82e-06,1.56e-06,5.018284
