word,count_original,count_bt,relfreq_original,relfreq_bt,ratio
came,53,337,4.59e-06,3.05e-05,0.15053
agreement,21,133,1.82e-06,1.204e-05,0.151128
percent,18,114,1.56e-06,1.032e-05,0.151128
anständig,14,88,1.21e-06,7.96e-06,0.152273
dare,11,69,9.5e-07,6.24e-06,0.152588
demokrater,24,150,2.08e-06,1.357e-05,0.153143
mainly,17,106,1.47e-06,9.59e-06,0.153504
newspaper,14,87,1.21e-06,7.87e-06,0.154023
accident,10,62,8.7e-07,5.61e-06,0.154378
creates,11,68,9.5e-07,6.15e-06,0.154832
choose,45,278,3.9e-06,2.516e-05,0.154933
enhetens,24,147,2.08e-06,1.33e-05,0.156268
insurance,26,159,2.25e-06,1.439e-05,0.156514
monarken,11,67,9.5e-07,6.06e-06,0.157143
contribute,12,73,1.04e-06,6.61e-06,0.157339
experienced,12,73,1.04e-06,6.61e-06,0.157339
förenta,136,826,1.178e-05,7.475e-05,0.157593
himself,29,176,2.51e-06,1.593e-05,0.157711
means,64,388,5.54e-06,3.511e-05,0.157879
avoid,19,115,1.65e-06,1.041e-05,0.158137
leaves,11,66,9.5e-07,5.97e-06,0.159524
question,32,192,2.77e-06,1.737e-05,0.159524
meetings,10,60,8.7e-07,5.43e-06,0.159524
among,71,426,6.15e-06,3.855e-05,0.159524
although,31,186,2.69e-06,1.683e-05,0.159524
costs,27,162,2.34e-06,1.466e-05,0.159524
chairman,11,66,9.5e-07,5.97e-06,0.159524
possible,77,461,6.67e-06,4.172e-05,0.15987
comes,57,341,4.94e-06,3.086e-05,0.159992
increase,36,214,3.12e-06,1.937e-05,0.161015
strength,12,71,1.04e-06,6.43e-06,0.161771
förenliga,31,183,2.69e-06,1.656e-05,0.162139
läsbar,10,59,8.7e-07,5.34e-06,0.162228
pax,14,82,1.21e-06,7.42e-06,0.163415
examples,14,82,1.21e-06,7.42e-06,0.163415
sängs,27,158,2.34e-06,1.43e-05,0.163563
od,18,105,1.56e-06,9.5e-06,0.164082
called,78,454,6.76e-06,4.108e-05,0.164443
immunsystemet,11,64,9.5e-07,5.79e-06,0.164509
months,30,174,2.6e-06,1.575e-05,0.165025
solution,24,139,2.08e-06,1.258e-05,0.165262
advantage,24,139,2.08e-06,1.258e-05,0.165262
customers,31,179,2.69e-06,1.62e-05,0.165762
advice,21,121,1.82e-06,1.095e-05,0.166116
befogenhet,37,213,3.2e-06,1.928e-05,0.166264
both,142,817,1.23e-05,7.393e-05,0.166358
published,36,207,3.12e-06,1.873e-05,0.16646
moved,15,86,1.3e-06,7.78e-06,0.166944
schools,18,103,1.56e-06,9.32e-06,0.167268
monarkin,21,120,1.82e-06,1.086e-05,0.1675
decisions,14,80,1.21e-06,7.24e-06,0.1675
clearly,17,97,1.47e-06,8.78e-06,0.167747
primarily,10,57,8.7e-07,5.16e-06,0.16792
parties,22,125,1.91e-06,1.131e-05,0.168457
rådets,171,971,1.481e-05,8.787e-05,0.16856
episoden,15,85,1.3e-06,7.69e-06,0.168908
obvious,12,68,1.04e-06,6.15e-06,0.168908
expensive,17,96,1.47e-06,8.69e-06,0.169494
prepared,14,79,1.21e-06,7.15e-06,0.16962
postmeddelande,47,265,4.07e-06,2.398e-05,0.169758
least,58,327,5.02e-06,2.959e-05,0.169769
röv,11,62,9.5e-07,5.61e-06,0.169816
participate,15,84,1.3e-06,7.6e-06,0.170918
board,57,318,4.94e-06,2.878e-05,0.171563
dumpade,11,61,9.5e-07,5.52e-06,0.1726
riding,13,72,1.13e-06,6.52e-06,0.172818
older,15,83,1.3e-06,7.51e-06,0.172978
yo,27,149,2.34e-06,1.348e-05,0.173442
demands,12,66,1.04e-06,5.97e-06,0.174026
solida,12,66,1.04e-06,5.97e-06,0.174026
anestesi,14,77,1.21e-06,6.97e-06,0.174026
began,16,88,1.39e-06,7.96e-06,0.174026
also,468,2574,4.054e-05,0.00023293,0.174026
everyone,60,330,5.2e-06,2.986e-05,0.174026
difference,19,104,1.65e-06,9.41e-06,0.174863
