word,count_original,count_bt,relfreq_original,relfreq_bt,ratio
regi,353,44,3.604e-05,5.1e-06,7.066726
glimrende,96,12,9.8e-06,1.39e-06,7.046707
pene,104,13,1.062e-05,1.51e-06,7.046707
styremedlem,120,15,1.225e-05,1.74e-06,7.046707
valgkampen,104,13,1.062e-05,1.51e-06,7.046707
stanse,144,18,1.47e-05,2.09e-06,7.046707
folkeparti,80,10,8.17e-06,1.16e-06,7.046707
skutt,287,36,2.93e-05,4.17e-06,7.022239
innslag,223,28,2.277e-05,3.25e-06,7.015248
ordinær,207,26,2.113e-05,3.01e-06,7.012828
innover,175,22,1.787e-05,2.55e-06,7.006669
østfold,310,39,3.165e-05,4.52e-06,7.001535
menneskenes,95,12,9.7e-06,1.39e-06,6.973303
hjelpemiddel,79,10,8.07e-06,1.16e-06,6.958623
veg,142,18,1.45e-05,2.09e-06,6.948836
arrangeres,252,32,2.573e-05,3.71e-06,6.936602
landslaget,110,14,1.123e-05,1.62e-06,6.920873
aust,110,14,1.123e-05,1.62e-06,6.920873
beliggenhet,801,102,8.177e-05,1.182e-05,6.917172
rusmidler,86,11,8.78e-06,1.27e-06,6.886554
torstein,78,10,7.96e-06,1.16e-06,6.870539
ukeblad,78,10,7.96e-06,1.16e-06,6.870539
bedriftens,101,13,1.031e-05,1.51e-06,6.843436
vegvesen,186,24,1.899e-05,2.78e-06,6.826497
destinasjoner,85,11,8.68e-06,1.27e-06,6.806478
strø,85,11,8.68e-06,1.27e-06,6.806478
foreligger,393,51,4.012e-05,5.91e-06,6.787637
borettslag,208,27,2.123e-05,3.13e-06,6.785717
slitsomt,77,10,7.86e-06,1.16e-06,6.782455
stakk,169,22,1.725e-05,2.55e-06,6.76644
skjønte,192,25,1.96e-05,2.9e-06,6.764838
salgs,207,27,2.113e-05,3.13e-06,6.753094
utnyttelse,115,15,1.174e-05,1.74e-06,6.753094
fortellingen,176,23,1.797e-05,2.67e-06,6.740328
nedturer,84,11,8.58e-06,1.27e-06,6.726402
het,313,41,3.195e-05,4.75e-06,6.724449
opplyse,99,13,1.011e-05,1.51e-06,6.707923
innkalling,114,15,1.164e-05,1.74e-06,6.694371
chu,159,21,1.623e-05,2.43e-06,6.669204
eventuell,318,42,3.246e-05,4.87e-06,6.669204
vuitton,242,32,2.471e-05,3.71e-06,6.66134
utdannelse,332,44,3.389e-05,5.1e-06,6.646326
smule,98,13,1e-05,1.51e-06,6.640166
oversiktlig,90,12,9.19e-06,1.39e-06,6.606287
ungdommer,225,30,2.297e-05,3.48e-06,6.606287
fortløpende,142,19,1.45e-05,2.2e-06,6.583107
nedlagt,127,17,1.297e-05,1.97e-06,6.58038
applikasjonen,82,11,8.37e-06,1.27e-06,6.566249
foreningens,82,11,8.37e-06,1.27e-06,6.566249
innst,74,10,7.55e-06,1.16e-06,6.518204
franskmennene,74,10,7.55e-06,1.16e-06,6.518204
arbeidsoppgaver,118,16,1.205e-05,1.85e-06,6.496183
grunnla,110,15,1.123e-05,1.74e-06,6.459481
betegnes,95,13,9.7e-06,1.51e-06,6.436895
desverre,146,20,1.491e-05,2.32e-06,6.43012
takt,204,28,2.083e-05,3.25e-06,6.417536
voldsomme,102,14,1.041e-05,1.62e-06,6.417536
romerike,102,14,1.041e-05,1.62e-06,6.417536
innspill,334,46,3.41e-05,5.33e-06,6.395652
verst,145,20,1.48e-05,2.32e-06,6.386078
ungdommene,123,17,1.256e-05,1.97e-06,6.373124
virkemidler,159,22,1.623e-05,2.55e-06,6.366059
keiseren,159,22,1.623e-05,2.55e-06,6.366059
sliter,455,63,4.645e-05,7.3e-06,6.36161
lotus,173,24,1.766e-05,2.78e-06,6.349376
esken,72,10,7.35e-06,1.16e-06,6.342036
midtre,79,11,8.07e-06,1.27e-06,6.326021
trangt,79,11,8.07e-06,1.27e-06,6.326021
feiring,122,17,1.245e-05,1.97e-06,6.32131
gårsdagens,86,12,8.78e-06,1.39e-06,6.312675
sosialistiske,86,12,8.78e-06,1.39e-06,6.312675
lønner,86,12,8.78e-06,1.39e-06,6.312675
fremtredende,93,13,9.49e-06,1.51e-06,6.301382
mere,329,46,3.359e-05,5.33e-06,6.299909
smitte,107,15,1.092e-05,1.74e-06,6.283313
tiltalte,164,23,1.674e-05,2.67e-06,6.28076
stemmerett,114,16,1.164e-05,1.85e-06,6.275973
helsevern,135,19,1.378e-05,2.2e-06,6.258588
bod,78,11,7.96e-06,1.27e-06,6.245945
frokost,758,107,7.738e-05,1.24e-05,6.239957
stranda,85,12,8.68e-06,1.39e-06,6.239271
adelen,85,12,8.68e-06,1.39e-06,6.239271
mangelfull,92,13,9.39e-06,1.51e-06,6.233625
tao,99,14,1.011e-05,1.62e-06,6.228785
jfr,183,26,1.868e-05,3.01e-06,6.199747
regnes,616,88,6.289e-05,1.02e-05,6.165868
funksjonsevne,77,11,7.86e-06,1.27e-06,6.165868
uttalte,259,37,2.644e-05,4.29e-06,6.165868
avgjørelser,126,18,1.286e-05,2.09e-06,6.165868
aftenposten,861,123,8.79e-05,1.426e-05,6.165868
cao,174,25,1.776e-05,2.9e-06,6.130635
sort,299,43,3.052e-05,4.98e-06,6.124899
aktuell,187,27,1.909e-05,3.13e-06,6.100621
bygningsloven,90,13,9.19e-06,1.51e-06,6.098111
strider,83,12,8.47e-06,1.39e-06,6.092465
plata,76,11,7.76e-06,1.27e-06,6.085792
drøfte,76,11,7.76e-06,1.27e-06,6.085792
klarer,1140,165,0.00011638,1.912e-05,6.085792
framstår,69,10,7.04e-06,1.16e-06,6.077784
fylkene,69,10,7.04e-06,1.16e-06,6.077784
samboer,103,15,1.052e-05,1.74e-06,6.048423
kler,103,15,1.052e-05,1.74e-06,6.048423
tids,151,22,1.542e-05,2.55e-06,6.045754
vidt,431,63,4.4e-05,7.3e-06,6.026053
fremgang,116,17,1.184e-05,1.97e-06,6.010426
innblikk,150,22,1.531e-05,2.55e-06,6.005716
implementering,75,11,7.66e-06,1.27e-06,6.005716
furutrær,68,10,6.94e-06,1.16e-06,5.989701
sakset,95,14,9.7e-06,1.62e-06,5.977117
kompis,88,13,8.98e-06,1.51e-06,5.962598
obs,209,31,2.134e-05,3.59e-06,5.938555
dyktig,182,27,1.858e-05,3.13e-06,5.937503
arbeidsledighet,101,15,1.031e-05,1.74e-06,5.930978
formidler,121,18,1.235e-05,2.09e-06,5.921191
sånn,1545,230,0.00015773,2.666e-05,5.916936
yuhua,94,14,9.6e-06,1.62e-06,5.9142
huaihua,94,14,9.6e-06,1.62e-06,5.9142
sovnet,67,10,6.84e-06,1.16e-06,5.901617
fremfor,321,48,3.277e-05,5.56e-06,5.890606
betegnelsen,193,29,1.97e-05,3.36e-06,5.862131
stiller,644,97,6.575e-05,1.124e-05,5.84804
meld,298,45,3.042e-05,5.22e-06,5.833107
napoléon,66,10,6.74e-06,1.16e-06,5.813533
halvannen,66,10,6.74e-06,1.16e-06,5.813533
velgerne,112,17,1.143e-05,1.97e-06,5.80317
innhentet,79,12,8.07e-06,1.39e-06,5.798852
rutiner,263,40,2.685e-05,4.64e-06,5.791512
anledning,688,105,7.024e-05,1.217e-05,5.771588
treverk,65,10,6.64e-06,1.16e-06,5.725449
