word,count_original,count_bt,relfreq_original,relfreq_bt,ratio
halm,123,19,1.256e-05,2.24e-06,5.614593
ide,123,19,1.256e-05,2.24e-06,5.614593
tilnærmet,123,19,1.256e-05,2.24e-06,5.614593
rediger,11412,1763,0.00116505,0.00020752,5.61405
nødt,330,51,3.369e-05,6e-06,5.611908
out,348,54,3.553e-05,6.36e-06,5.589234
medarbeidere,269,42,2.746e-05,4.94e-06,5.554817
oppsikt,64,10,6.53e-06,1.18e-06,5.550687
kjem,64,10,6.53e-06,1.18e-06,5.550687
á,64,10,6.53e-06,1.18e-06,5.550687
through,115,18,1.174e-05,2.12e-06,5.541051
oh,83,13,8.47e-06,1.53e-06,5.537344
years,140,22,1.429e-05,2.59e-06,5.519149
årgang,108,17,1.103e-05,2e-06,5.509874
jula,108,17,1.103e-05,2e-06,5.509874
plata,76,12,7.76e-06,1.41e-06,5.492868
mv,304,48,3.104e-05,5.65e-06,5.492868
unfiltered,215,34,2.195e-05,4e-06,5.484365
being,82,13,8.37e-06,1.53e-06,5.470629
gjennomslag,82,13,8.37e-06,1.53e-06,5.470629
trappe,63,10,6.43e-06,1.18e-06,5.463958
regelverket,195,31,1.991e-05,3.65e-06,5.455565
beautiful,113,18,1.154e-05,2.12e-06,5.444685
hinder,100,16,1.021e-05,1.88e-06,5.420593
perception,212,34,2.164e-05,4e-06,5.407839
kjedet,81,13,8.27e-06,1.53e-06,5.403914
uvisst,62,10,6.33e-06,1.18e-06,5.377228
edit,62,10,6.33e-06,1.18e-06,5.377228
keep,62,10,6.33e-06,1.18e-06,5.377228
in,4114,664,0.00042,7.816e-05,5.373571
fortløpende,142,23,1.45e-05,2.71e-06,5.354603
dessuten,1541,250,0.00015732,2.943e-05,5.346006
lovverket,80,13,8.17e-06,1.53e-06,5.337199
regelverk,203,33,2.072e-05,3.88e-06,5.335178
and,6076,988,0.0006203,0.0001163,5.333688
obs,209,34,2.134e-05,4e-06,5.331313
idretten,92,15,9.39e-06,1.77e-06,5.319409
kar,128,21,1.307e-05,2.47e-06,5.286369
automater,67,11,6.84e-06,1.29e-06,5.282614
omfattes,134,22,1.368e-05,2.59e-06,5.282614
satsing,176,29,1.797e-05,3.41e-06,5.263583
iblant,91,15,9.29e-06,1.77e-06,5.261589
my,842,139,8.596e-05,1.636e-05,5.253686
utredning,157,26,1.603e-05,3.06e-06,5.237127
vedtaket,204,34,2.083e-05,4e-06,5.203769
kår,60,10,6.13e-06,1.18e-06,5.203769
vanvittig,108,18,1.103e-05,2.12e-06,5.203769
jordbruket,66,11,6.74e-06,1.29e-06,5.203769
she,101,17,1.031e-05,2e-06,5.152752
off,267,45,2.726e-05,5.3e-06,5.14595
stay,83,14,8.47e-06,1.65e-06,5.14182
jorda,326,55,3.328e-05,6.47e-06,5.140693
va,148,25,1.511e-05,2.94e-06,5.134386
eidsiva,71,12,7.25e-06,1.41e-06,5.131495
lista,201,34,2.052e-05,4e-06,5.127243
helga,282,48,2.879e-05,5.65e-06,5.095358
ytterst,117,20,1.194e-05,2.35e-06,5.073675
jacket,99,17,1.011e-05,2e-06,5.050717
lettvint,64,11,6.53e-06,1.29e-06,5.046079
verker,186,32,1.899e-05,3.77e-06,5.041152
vannplaning,58,10,5.92e-06,1.18e-06,5.03031
too,116,20,1.184e-05,2.35e-06,5.03031
code,87,15,8.88e-06,1.77e-06,5.03031
hovmester,58,10,5.92e-06,1.18e-06,5.03031
reading,87,15,8.88e-06,1.77e-06,5.03031
hand,110,19,1.123e-05,2.24e-06,5.021181
sekk,81,14,8.27e-06,1.65e-06,5.017921
gjøremål,81,14,8.27e-06,1.65e-06,5.017921
other,196,34,2.001e-05,4e-06,4.9997
medvirkning,213,37,2.175e-05,4.36e-06,4.992806
tillitsvalgte,161,28,1.644e-05,3.3e-06,4.986946
simple,69,12,7.04e-06,1.41e-06,4.986946
ligg,69,12,7.04e-06,1.41e-06,4.986946
kveldstid,69,12,7.04e-06,1.41e-06,4.986946
str,109,19,1.113e-05,2.24e-06,4.975534
samfunnsmessige,63,11,6.43e-06,1.29e-06,4.967234
problemstillingen,103,18,1.052e-05,2.12e-06,4.962854
ah,154,27,1.572e-05,3.18e-06,4.946793
anslag,91,16,9.29e-06,1.88e-06,4.93274
eg,686,121,7.003e-05,1.424e-05,4.91706
next,136,24,1.388e-05,2.83e-06,4.914671
works,68,12,6.94e-06,1.41e-06,4.914671
af,424,75,4.329e-05,8.83e-06,4.903107
set,141,25,1.439e-05,2.94e-06,4.891543
lita,62,11,6.33e-06,1.29e-06,4.88839
seinere,186,33,1.899e-05,3.88e-06,4.88839
vansker,73,13,7.45e-06,1.53e-06,4.870195
picture,73,13,7.45e-06,1.53e-06,4.870195
atter,112,20,1.143e-05,2.35e-06,4.856852
lovely,56,10,5.72e-06,1.18e-06,4.856852
analysis,78,14,7.96e-06,1.65e-06,4.832072
godtar,111,20,1.133e-05,2.35e-06,4.813487
more,455,82,4.645e-05,9.65e-06,4.812429
tilværelse,72,13,7.35e-06,1.53e-06,4.80348
sort,299,54,3.052e-05,6.36e-06,4.802244
add,66,12,6.74e-06,1.41e-06,4.770122
klor,88,16,8.98e-06,1.88e-06,4.770122
desinfeksjon,77,14,7.86e-06,1.65e-06,4.770122
funker,165,30,1.684e-05,3.53e-06,4.770122
better,93,17,9.49e-06,2e-06,4.744613
rate,82,15,8.37e-06,1.77e-06,4.741212
tilfredsstiller,82,15,8.37e-06,1.77e-06,4.741212
redegjørelse,82,15,8.37e-06,1.77e-06,4.741212
synliggjøre,71,13,7.25e-06,1.53e-06,4.736765
forretning,60,11,6.13e-06,1.29e-06,4.7307
fortere,120,22,1.225e-05,2.59e-06,4.7307
desidert,87,16,8.88e-06,1.88e-06,4.715916
very,228,42,2.328e-05,4.94e-06,4.708172
redskap,114,21,1.164e-05,2.47e-06,4.708172
nettet,790,146,8.065e-05,1.719e-05,4.692897
alminnelige,146,27,1.491e-05,3.18e-06,4.689817
fosser,54,10,5.51e-06,1.18e-06,4.683393
sommerkveld,81,15,8.27e-06,1.77e-06,4.683393
maken,54,10,5.51e-06,1.18e-06,4.683393
igjennom,441,82,4.502e-05,9.65e-06,4.664354
work,172,32,1.756e-05,3.77e-06,4.66171
avisa,188,35,1.919e-05,4.12e-06,4.658613
samfundet,59,11,6.02e-06,1.29e-06,4.651855
making,75,14,7.66e-06,1.65e-06,4.646223
got,91,17,9.29e-06,2e-06,4.642579
venninne,208,39,2.123e-05,4.59e-06,4.625573
oppgjøret,80,15,8.17e-06,1.77e-06,4.625573
treffes,80,15,8.17e-06,1.77e-06,4.625573
way,160,30,1.633e-05,3.53e-06,4.625573
