word,count_original,count_bt,relfreq_original,relfreq_bt,ratio
væntanlega,468,32,4.745e-05,4.15e-06,11.428761
aðstaða,219,15,2.221e-05,1.95e-06,11.409225
örn,657,45,6.662e-05,5.84e-06,11.409225
pening,144,10,1.46e-05,1.3e-06,11.252934
heimilanna,229,16,2.322e-05,2.08e-06,11.184557
þarna,2163,152,0.00021932,1.972e-05,11.120293
verkefnastjóri,156,11,1.582e-05,1.43e-06,11.082435
strætó,170,12,1.724e-05,1.56e-06,11.070595
handjob,155,11,1.572e-05,1.43e-06,11.011394
birgir,225,16,2.281e-05,2.08e-06,10.989194
nk,337,24,3.417e-05,3.11e-06,10.972913
žar,393,28,3.985e-05,3.63e-06,10.968262
gr,3894,278,0.00039484,3.607e-05,10.945975
veröld,181,13,1.835e-05,1.69e-06,10.880241
tilkomu,194,14,1.967e-05,1.82e-06,10.828717
styrki,331,24,3.356e-05,3.11e-06,10.77755
lastname,920,67,9.328e-05,8.69e-06,10.73041
már,452,33,4.583e-05,4.28e-06,10.703549
landsmenn,178,13,1.805e-05,1.69e-06,10.699906
dögunum,367,27,3.721e-05,3.5e-06,10.621983
framboð,378,28,3.833e-05,3.63e-06,10.549626
nýjungar,134,10,1.359e-05,1.3e-06,10.471481
boðað,200,15,2.028e-05,1.95e-06,10.419384
framkomu,133,10,1.349e-05,1.3e-06,10.393335
velli,172,13,1.744e-05,1.69e-06,10.339235
frábærlega,130,10,1.318e-05,1.3e-06,10.158899
ólafsson,507,39,5.141e-05,5.06e-06,10.158899
landverndar,130,10,1.318e-05,1.3e-06,10.158899
selfoss,247,19,2.504e-05,2.47e-06,10.158899
aðilum,373,29,3.782e-05,3.76e-06,10.051112
ei,265,21,2.687e-05,2.72e-06,9.861202
jarða,265,21,2.687e-05,2.72e-06,9.861202
jafnaði,403,32,4.086e-05,4.15e-06,9.841433
sveitarfélögin,138,11,1.399e-05,1.43e-06,9.803693
mannlíf,138,11,1.399e-05,1.43e-06,9.803693
shemale,414,33,4.198e-05,4.28e-06,9.803693
ku,125,10,1.267e-05,1.3e-06,9.768172
uppbyggingar,125,10,1.267e-05,1.3e-06,9.768172
gíslason,260,21,2.636e-05,2.72e-06,9.675142
margvíslegum,123,10,1.247e-05,1.3e-06,9.611881
greiðsla,172,14,1.744e-05,1.82e-06,9.600718
casino,135,11,1.369e-05,1.43e-06,9.590569
kveða,233,19,2.363e-05,2.47e-06,9.583091
þykir,1135,93,0.00011508,1.207e-05,9.537097
miðbæ,122,10,1.237e-05,1.3e-06,9.533736
sólarhring,170,14,1.724e-05,1.82e-06,9.489082
talsvert,448,37,4.543e-05,4.8e-06,9.461927
stefnumótasíðu,496,41,5.029e-05,5.32e-06,9.453685
tiltekið,253,21,2.565e-05,2.72e-06,9.414657
gum,252,21,2.555e-05,2.72e-06,9.377445
hitið,144,12,1.46e-05,1.56e-06,9.377445
hólmi,120,10,1.217e-05,1.3e-06,9.377445
varða,559,47,5.668e-05,6.1e-06,9.294312
felst,832,70,8.436e-05,9.08e-06,9.288136
vi,2005,169,0.0002033,2.193e-05,9.271094
eiríkur,201,17,2.038e-05,2.21e-06,9.239542
eignarhald,152,13,1.541e-05,1.69e-06,9.136998
ríður,128,11,1.298e-05,1.43e-06,9.09328
nýta,1580,136,0.00016021,1.765e-05,9.078654
hadde,174,15,1.764e-05,1.95e-06,9.064864
orlofi,116,10,1.176e-05,1.3e-06,9.064864
okt,255,22,2.586e-05,2.85e-06,9.05776
tiltekna,185,16,1.876e-05,2.08e-06,9.035559
brugðið,127,11,1.288e-05,1.43e-06,9.022239
þriðjudag,127,11,1.288e-05,1.43e-06,9.022239
loknu,334,29,3.387e-05,3.76e-06,9.000192
kj,149,13,1.511e-05,1.69e-06,8.956662
ar,741,65,7.513e-05,8.43e-06,8.908573
krónur,991,87,0.00010048,1.129e-05,8.901387
skili,148,13,1.501e-05,1.69e-06,8.896551
atvikum,216,19,2.19e-05,2.47e-06,8.883896
vegan,159,14,1.612e-05,1.82e-06,8.875082
kristjánsdóttir,193,17,1.957e-05,2.21e-06,8.871799
íslensks,181,16,1.835e-05,2.08e-06,8.840196
fræðsla,147,13,1.491e-05,1.69e-06,8.836439
dugleg,147,13,1.491e-05,1.69e-06,8.836439
eindhoven,113,10,1.146e-05,1.3e-06,8.830428
fólst,113,10,1.146e-05,1.3e-06,8.830428
vandi,169,15,1.714e-05,1.95e-06,8.804379
bætist,191,17,1.937e-05,2.21e-06,8.779863
bakeca,380,34,3.853e-05,4.41e-06,8.733895
svokallað,134,12,1.359e-05,1.56e-06,8.726234
eir,356,32,3.61e-05,4.15e-06,8.693673
jóns,456,41,4.624e-05,5.32e-06,8.691291
kannað,122,11,1.237e-05,1.43e-06,8.667033
atvinnulífið,122,11,1.237e-05,1.43e-06,8.667033
vogum,122,11,1.237e-05,1.43e-06,8.667033
berist,133,12,1.349e-05,1.56e-06,8.661113
viðræður,155,14,1.572e-05,1.82e-06,8.65181
ath,330,30,3.346e-05,3.89e-06,8.595992
kynlífsauglýsingar,121,11,1.227e-05,1.43e-06,8.595992
vídeó,1154,105,0.00011701,1.362e-05,8.588549
undanfarið,329,30,3.336e-05,3.89e-06,8.569943
ætíð,241,22,2.444e-05,2.85e-06,8.560471
stefán,460,42,4.664e-05,5.45e-06,8.558779
hlúa,120,11,1.217e-05,1.43e-06,8.52495
ferðaþjónustunnar,119,11,1.207e-05,1.43e-06,8.453909
hyggst,194,18,1.967e-05,2.34e-06,8.422335
einkennir,140,13,1.42e-05,1.69e-06,8.415656
áfanga,226,21,2.292e-05,2.72e-06,8.409931
žetta,344,32,3.488e-05,4.15e-06,8.400628
vont,129,12,1.308e-05,1.56e-06,8.400628
ungmenni,236,22,2.393e-05,2.85e-06,8.382868
samtakanna,557,52,5.648e-05,6.75e-06,8.370572
vert,353,33,3.579e-05,4.28e-06,8.359187
samstaða,139,13,1.409e-05,1.69e-06,8.355544
þið,3454,325,0.00035022,4.217e-05,8.30505
miðast,223,21,2.261e-05,2.72e-06,8.298295
styðjast,105,10,1.065e-05,1.3e-06,8.205265
þáverandi,178,17,1.805e-05,2.21e-06,8.182281
snilld,188,18,1.906e-05,2.34e-06,8.161851
skemmtilega,480,46,4.867e-05,5.97e-06,8.1543
hagkvæmni,104,10,1.055e-05,1.3e-06,8.127119
guðmundar,156,15,1.582e-05,1.95e-06,8.127119
lima,135,13,1.369e-05,1.69e-06,8.115097
kost,550,53,5.577e-05,6.88e-06,8.109426
sýgur,249,24,2.525e-05,3.11e-06,8.107583
stefs,114,11,1.156e-05,1.43e-06,8.098703
seljandi,176,17,1.785e-05,2.21e-06,8.090345
stjórnarmenn,165,16,1.673e-05,2.08e-06,8.058742
ingi,494,48,5.009e-05,6.23e-06,8.042462
fyrirvara,502,49,5.09e-05,6.36e-06,8.005914
pantanir,133,13,1.349e-05,1.69e-06,7.994873
verjast,133,13,1.349e-05,1.69e-06,7.994873
upplifir,102,10,1.034e-05,1.3e-06,7.970829
om,387,38,3.924e-05,4.93e-06,7.95849
guðbjörg,142,14,1.44e-05,1.82e-06,7.926174
ókeypis,9452,933,0.0009584,0.00012106,7.916721
verksins,566,56,5.739e-05,7.27e-06,7.898265
óvíst,101,10,1.024e-05,1.3e-06,7.892683
ríkt,121,12,1.227e-05,1.56e-06,7.879659
ikke,382,38,3.873e-05,4.93e-06,7.855667
