word,count_original,count_bt,relfreq_original,relfreq_bt,ratio
legemlig,99,21,1.006e-05,2.35e-06,4.278355
forkyndt,99,21,1.006e-05,2.35e-06,4.278355
inklusiv,160,34,1.626e-05,3.81e-06,4.270729
bystolic,80,17,8.13e-06,1.9e-06,4.270729
midttrafik,127,27,1.29e-05,3.02e-06,4.268752
mangelfuld,47,10,4.78e-06,1.12e-06,4.26539
udlån,94,20,9.55e-06,2.24e-06,4.26539
selbst,47,10,4.78e-06,1.12e-06,4.26539
eventuelt,581,124,5.903e-05,1.388e-05,4.252217
hva,89,19,9.04e-06,2.13e-06,4.251061
aktuelt,149,32,1.514e-05,3.58e-06,4.225686
kostbare,51,11,5.18e-06,1.23e-06,4.207638
sup,51,11,5.18e-06,1.23e-06,4.207638
ekspres,88,19,8.94e-06,2.13e-06,4.203296
lokalet,88,19,8.94e-06,2.13e-06,4.203296
trouble,60,13,6.1e-06,1.46e-06,4.188599
deri,180,39,1.829e-05,4.37e-06,4.188599
pars,83,18,8.43e-06,2.02e-06,4.184721
livs,175,38,1.778e-05,4.25e-06,4.179414
icke,1096,238,0.00011136,2.665e-05,4.179213
transparent,46,10,4.67e-06,1.12e-06,4.174637
sundhedsområdet,46,10,4.67e-06,1.12e-06,4.174637
træningscenter,46,10,4.67e-06,1.12e-06,4.174637
muliggør,101,22,1.026e-05,2.46e-06,4.166387
forsøgene,55,12,5.59e-06,1.34e-06,4.159512
cortex,64,14,6.5e-06,1.57e-06,4.148708
schal,137,30,1.392e-05,3.36e-06,4.144386
virke,534,117,5.426e-05,1.31e-05,4.142059
anholdt,228,50,2.317e-05,5.6e-06,4.138336
mindske,196,43,1.992e-05,4.81e-06,4.136648
uforpligtende,164,36,1.666e-05,4.03e-06,4.134303
fællesarealer,50,11,5.08e-06,1.23e-06,4.125136
substans,59,13,5.99e-06,1.46e-06,4.118789
retina,59,13,5.99e-06,1.46e-06,4.118789
oppedal,68,15,6.91e-06,1.68e-06,4.114135
gad,145,32,1.473e-05,3.58e-06,4.112245
corpus,86,19,8.74e-06,2.13e-06,4.107767
edb,86,19,8.74e-06,2.13e-06,4.107767
imellem,1049,232,0.00010659,2.598e-05,4.103443
receptpligtige,54,12,5.49e-06,1.34e-06,4.083884
vejledere,54,12,5.49e-06,1.34e-06,4.083884
maaske,45,10,4.57e-06,1.12e-06,4.083884
denem,54,12,5.49e-06,1.34e-06,4.083884
surt,72,16,7.32e-06,1.79e-06,4.083884
dagligdag,72,16,7.32e-06,1.79e-06,4.083884
redskaber,246,55,2.5e-05,6.16e-06,4.059134
indvendig,67,15,6.81e-06,1.68e-06,4.053633
kommen,174,39,1.768e-05,4.37e-06,4.048979
almindeligvis,58,13,5.89e-06,1.46e-06,4.048979
høreapparat,58,13,5.89e-06,1.46e-06,4.048979
tallets,49,11,4.98e-06,1.23e-06,4.042633
bøxel,49,11,4.98e-06,1.23e-06,4.042633
seddel,71,16,7.21e-06,1.79e-06,4.027164
heel,102,23,1.036e-05,2.58e-06,4.024698
totale,93,21,9.45e-06,2.35e-06,4.019061
hue,84,19,8.54e-06,2.13e-06,4.012237
organisering,137,31,1.392e-05,3.47e-06,4.010696
morsomt,53,12,5.39e-06,1.34e-06,4.008257
afviger,44,10,4.47e-06,1.12e-06,3.993131
spændte,66,15,6.71e-06,1.68e-06,3.993131
fokuseres,44,10,4.47e-06,1.12e-06,3.993131
utal,114,26,1.158e-05,2.91e-06,3.979169
execution,57,13,5.79e-06,1.46e-06,3.979169
æde,57,13,5.79e-06,1.46e-06,3.979169
raske,105,24,1.067e-05,2.69e-06,3.970443
skeer,83,19,8.43e-06,2.13e-06,3.964473
andetsteds,48,11,4.88e-06,1.23e-06,3.96013
værende,157,36,1.595e-05,4.03e-06,3.957839
ik,122,28,1.24e-05,3.13e-06,3.954237
kollektion,100,23,1.016e-05,2.58e-06,3.945782
ønskes,152,35,1.544e-05,3.92e-06,3.941273
